file	ver	kind	x	y	build	death	gend	onset	nbelt	eaten	fwd	d2bc	d2opp
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_1.replay26	47	gunner	13	28	40		57	40	1	0	True	5	677
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_2.replay26	47	gunner	19	0	34		107	34	2	0	True	104	356
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_2.replay26	47	gunner	12	15	51		107		0	0	False	178	10
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_2.replay26	47	gunner	11	12	52		107		0	0	False	104	20
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_2.replay26	47	gunner	7	15	66		107		0	0	False	173	5
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_2.replay26	47	gunner	5	15	71	105	107	71	2	0	False	185	17
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_2.replay26	47	gunner	13	18	100		107		0	0	False	272	20
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_3.replay26	47	gunner	8	10	9	15	462	11	20	0	True	8	40
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_3.replay26	47	gunner	6	7	28		462	28	15	11	False	25	9
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_3.replay26	47	gunner	8	4	30	35	462		8	0	False	68	4
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_3.replay26	47	gunner	1	8	33		462	33	10	6	False	41	41
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_3.replay26	47	gunner	2	16	43		462		0	0	True	32	160
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_3.replay26	47	gunner	4	17	47		462	47	4	3	True	29	173
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_3.replay26	47	gunner	1	12	68		462	68	2	0	True	25	89
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_3.replay26	47	gunner	7	17	105		462	105	10	8	True	26	170
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_3.replay26	47	gunner	8	17	124		462	124	12	7	True	29	173
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_3.replay26	47	gunner	3	8	140		462	140	12	2	False	25	25
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_3.replay26	47	gunner	5	8	255		462	255	14	1	False	17	17
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_3.replay26	47	gunner	6	11	371		462	371	24	10	True	1	49
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_3.replay26	47	gunner	6	9	378		462	378	23	10	True	9	25
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_3.replay26	47	sentinel	2	8	459		462	459	15	0	False	32	32
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_4.replay26	47	gunner	13	13	20	24	192	20	6	0	True	50	128
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_4.replay26	47	gunner	6	10	36	45	192		0	0	False	208	26
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_4.replay26	47	gunner	7	10	38	127	192		0	0	False	185	29
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_4.replay26	47	gunner	15	12	44	93	192	44	5	0	True	45	149
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_4.replay26	47	gunner	6	9	52	122	192		0	0	False	225	17
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_4.replay26	47	gunner	5	8	60		192		0	0	False	269	9
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_4.replay26	47	gunner	10	19	72	105	192		12	0	True	65	221
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_4.replay26	47	gunner	18	15	144		192	144	11	1	True	9	269
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_5.replay26	47	gunner	16	4	28	37	100	28	10	0	True	5	369
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_5.replay26	47	gunner	16	2	31	47	100	31	6	0	True	1	421
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_5.replay26	47	gunner	16	1	33	42	100	33	5	0	True	2	450
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_5.replay26	47	gunner	17	1	37	47	100	37	4	0	True	1	481
