group	fwd	band	rnd	cause	n_shooters	n_shots	gun_shots	sent_shots	ff_shots	dmg_round	hp_start	max_hp	age	since_move	sm_bucket	since_act	thrown_ever	d2_enemy	depth_norm	batk_on_tile	healed_ever	n_enemy_bots_adj	rounds_since_first_dmg	n_dmg_rounds	gun_inrange	sent_inrange
US	0	3	374	EXACT	1	1	1	0	0	7	5	40	51	1	0	17	0	20	0.5590169943749475	0	0	1	10	5	4	0
US	0	3	413	EXACT	1	1	1	0	0	7	5	40	137	1	0	8	0	16	0.5	0	0	0	4	4	5	0
US	0	3	417	EXACT	1	1	1	0	0	7	5	40	45	1	0	4	0	29	0.673145600891813	0	0	0	20	5	3	0
US	0	3	419	EXACT	1	1	1	0	0	7	5	40	35	1	0	9	0	25	0.625	0	0	1	5	5	4	0
US	1	3	440	EXACT	1	1	1	0	0	7	5	40	25	5	2	1	0	20	0.5590169943749475	0	0	1	6	5	3	0
US	0	3	453	EXACT	1	1	1	0	0	7	5	40	28	4	2	1	0	25	0.625	0	0	1	3	3	4	0
US	0	3	457	EXACT	1	1	1	0	0	7	5	40	58	1	0	-1	0	20	0.5590169943749475	0	0	1	10	3	4	0
US	0	3	463	OVER	2	2	2	0	0	7	5	40	7	1	0	2	0	26	0.6373774391990981	0	0	1	3	3	4	0
US	0	4	503	EXACT	2	2	2	0	0	14	12	40	16	1	0	-1	0	25	0.625	0	0	1	3	3	4	0
US	0	4	506	EXACT	2	2	2	0	0	14	12	40	7	2	1	1	0	25	0.625	0	0	1	2	2	4	0
US	0	4	523	EXACT	2	2	2	0	0	14	12	40	11	2	1	1	0	25	0.625	0	0	1	3	3	4	0
US	0	4	534	EXACT	1	1	1	0	0	7	5	40	91	1	0	53	0	25	0.625	0	0	1	90	5	4	0
US	0	4	535	EXACT	1	1	1	0	0	7	5	40	63	1	0	15	0	20	0.5590169943749475	0	0	1	17	3	4	0
US	1	4	561	EXACT	1	1	1	0	0	7	5	40	33	3	2	1	0	25	0.625	0	0	1	27	5	2	0
US	0	4	563	EXACT	2	2	2	0	0	14	12	40	11	3	2	1	0	25	0.625	0	0	1	2	2	4	0
US	0	4	567	EXACT	2	2	2	0	0	14	12	40	27	1	0	3	0	25	0.625	0	0	1	27	3	4	0
US	0	4	574	EXACT	1	1	1	0	0	7	5	40	6	3	2	1	0	26	0.6373774391990981	0	0	1	3	3	4	0
US	0	4	599	EXACT	2	2	2	0	0	14	12	40	11	3	2	1	0	25	0.625	0	0	1	3	3	4	0
US	0	4	613	EXACT	1	1	1	0	0	7	5	40	13	1	0	2	0	26	0.6373774391990981	0	0	1	4	4	4	0
US	0	4	621	EXACT	1	1	1	0	0	7	5	40	6	3	2	1	0	25	0.625	0	0	1	3	3	4	0
US	0	4	662	EXACT	2	2	2	0	0	14	12	40	83	1	0	53	0	20	0.5590169943749475	0	0	1	70	4	4	0
US	1	4	662	EXACT	1	1	1	0	0	7	5	40	35	2	1	1	0	25	0.625	0	0	1	29	5	2	0
US	0	4	678	EXACT	1	1	1	0	0	7	5	40	10	1	0	-1	0	20	0.5590169943749475	0	0	1	6	3	4	0
US	0	4	694	EXACT	1	1	1	0	0	7	5	40	39	1	0	2	0	26	0.6373774391990981	0	0	1	3	3	4	0
US	0	4	728	EXACT	2	2	2	0	0	14	12	40	32	1	0	4	0	20	0.5590169943749475	0	0	1	6	4	4	0
US	0	4	731	EXACT	2	2	2	0	0	14	12	40	6	1	0	3	0	26	0.6373774391990981	0	0	1	3	3	4	0
US	0	4	743	EXACT	2	2	2	0	0	14	12	40	394	2	1	1	0	16	0.5	0	0	0	3	3	5	0
US	0	4	756	EXACT	1	1	1	0	0	7	5	40	76	1	0	-1	0	20	0.5590169943749475	0	0	1	71	5	4	0
US	1	4	766	EXACT	1	1	1	0	0	7	5	40	27	5	2	1	0	20	0.5590169943749475	0	0	1	24	5	3	0
US	0	4	804	EXACT	1	1	1	0	0	7	5	40	24	1	0	-1	0	20	0.5590169943749475	0	0	1	7	4	4	0
US	0	4	859	EXACT	2	2	2	0	0	14	12	40	27	3	2	1	0	25	0.625	0	0	1	3	2	5	0
US	0	4	863	EXACT	1	1	1	0	0	7	5	40	52	1	0	5	0	37	0.7603453162872774	0	0	2	32	5	3	0
US	0	4	876	EXACT	1	1	1	0	0	7	5	40	79	1	0	3	0	41	0.8003905296791061	0	0	0	63	5	5	0
US	0	4	881	EXACT	1	1	1	0	0	7	5	40	5	1	0	-1	0	16	0.5	0	0	0	5	4	8	0
US	0	4	882	EXACT	2	2	2	0	0	14	12	40	114	2	1	1	0	26	0.6373774391990981	0	0	1	64	4	7	0
US	1	4	906	EXACT	1	1	1	0	0	7	5	40	15	1	0	-1	0	29	0.673145600891813	0	0	0	15	3	4	0
US	0	4	926	EXACT	1	1	1	0	0	7	5	40	22	2	1	1	0	40	0.7905694150420949	0	0	0	20	5	3	0
US	0	4	943	EXACT	1	1	1	0	0	7	5	40	23	1	0	4	0	40	0.7905694150420949	0	0	1	21	5	4	0
US	0	4	945	EXACT	2	2	2	0	0	14	12	40	5	2	1	1	0	26	0.6373774391990981	0	0	1	3	3	7	0
US	0	4	948	EXACT	1	1	1	0	0	7	5	40	240	1	0	3	0	34	0.7288689868556626	0	0	0	158	4	3	0
US	0	4	971	EXACT	1	1	1	0	0	7	5	40	19	1	0	12	0	40	0.7905694150420949	0	0	1	10	5	4	0
US	0	4	987	EXACT	1	1	1	0	0	7	5	40	11	1	0	2	0	40	0.7905694150420949	0	0	0	11	5	3	0
US	0	4	994	EXACT	1	1	1	0	0	7	5	40	3	1	0	-1	0	25	0.625	0	0	1	3	3	7	0
US	1	0	27	EXACT	1	1	1	0	0	7	5	40	27	21	3	1	0	9	0.5303300858899106	0	0	0	20	5	1	0
US	0	1	132	EXACT	2	2	2	0	0	14	12	40	129	8	2	10	0	40	0.5270462766947299	0	0	2	7	2	2	0
US	0	1	159	EXACT	1	1	1	0	0	7	5	40	15	4	2	2	0	40	0.5270462766947299	0	0	2	10	3	2	0
US	1	2	196	EXACT	1	1	1	0	0	7	5	40	193	38	4	39	1	13	0.1414213562373095	0	0	1	5	3	6	1
US	1	3	296	EXACT	1	1	1	0	0	7	5	40	294	1	0	3	0	52	0.282842712474619	0	0	0	8	5	1	1
US	1	3	315	EXACT	1	1	1	0	0	7	5	40	130	3	2	1	0	68	0.323443016025056	0	0	1	85	5	2	0
US	1	3	324	EXACT	1	1	1	0	0	7	5	40	54	1	0	2	0	58	0.29871519752227077	0	0	0	8	5	3	0
US	1	3	328	EXACT	1	1	1	0	0	7	5	40	119	1	0	45	0	52	0.282842712474619	0	0	0	76	5	1	1
US	1	3	360	EXACT	1	1	1	0	0	7	5	40	70	6	2	1	0	58	0.29871519752227077	0	0	0	5	5	3	0
US	1	3	366	EXACT	1	1	1	0	0	7	5	40	66	4	2	1	0	65	0.3162277660168379	0	0	0	19	5	2	0
US	1	3	433	EXACT	1	1	1	0	0	7	5	40	58	1	0	3	0	52	0.282842712474619	0	0	0	8	5	1	1
US	1	3	440	EXACT	1	1	1	0	0	7	5	40	110	2	1	64	0	52	0.282842712474619	0	0	0	77	5	1	1
US	1	3	451	EXACT	1	1	1	0	0	7	5	40	59	1	0	42	0	52	0.282842712474619	0	0	0	9	5	1	1
US	1	0	22	EXACT	1	1	1	0	0	7	5	40	18	7	2	1	0	1	0.125	0	0	0	8	5	2	0
US	1	0	42	EXACT	1	1	1	0	0	7	5	40	42	36	4	4	1	9	0.375	0	0	0	5	5	2	0
US	1	1	77	EXACT	1	1	1	0	0	7	5	40	75	7	2	1	0	20	0.5590169943749475	0	0	0	20	5	2	0
US	1	1	121	EXACT	1	1	1	0	0	7	5	40	118	2	1	1	0	9	0.375	0	0	1	7	5	5	0
US	1	1	130	EXACT	1	1	1	0	0	7	5	40	129	1	0	31	0	5	0.2795084971874737	0	0	1	51	5	6	0
US	0	1	157	EXACT	1	1	1	0	0	7	5	40	53	2	1	13	0	17	0.5153882032022076	0	0	1	6	5	4	0
US	0	2	201	EXACT	1	1	1	0	0	7	5	40	15	2	1	-1	0	17	0.5153882032022076	0	0	0	5	5	4	0
US	1	2	245	EXACT	1	1	1	0	0	7	5	40	17	1	0	2	0	5	0.2795084971874737	0	0	0	12	5	4	0
