file	ev	rnd	team	kind	x	y	d2_own	d2_enemy	mw	mh
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	DEATH	92	0	conveyor	7	13	74	296	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	DEATH	95	1	gunner	18	16	178	272	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	97	1	gunner	18	2	10	580	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	101	1	gunner	14	14	170	180	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	DEATH	107	0	harvester	13	13	170	164	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	DEATH	107	1	core	21	3	0	650	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_3.replay26	BUILD	0	0	builder_bot	4	5	5	104	21	8
1c839a02-4452-4fe8-aff9-713950f4e11f_game_3.replay26	BUILD	0	1	builder_bot	13	5	5	68	21	8
1c839a02-4452-4fe8-aff9-713950f4e11f_game_3.replay26	BUILD	1	0	builder_bot	7	3	4	49	21	8
1c839a02-4452-4fe8-aff9-713950f4e11f_game_3.replay26	BUILD	1	1	builder_bot	16	4	5	122	21	8
1c839a02-4452-4fe8-aff9-713950f4e11f_game_3.replay26	BUILD	2	0	builder_bot	4	4	2	101	21	8
1c839a02-4452-4fe8-aff9-713950f4e11f_game_3.replay26	BUILD	2	1	builder_bot	13	2	2	65	21	8
1c839a02-4452-4fe8-aff9-713950f4e11f_game_3.replay26	BUILD	2	1	harvester	11	5	13	40	21	8
1c839a02-4452-4fe8-aff9-713950f4e11f_game_3.replay26	BUILD	3	0	builder_bot	7	5	8	53	21	8
1c839a02-4452-4fe8-aff9-713950f4e11f_game_3.replay26	BUILD	3	1	builder_bot	13	5	5	68	21	8
1c839a02-4452-4fe8-aff9-713950f4e11f_game_3.replay26	BUILD	3	1	conveyor	13	5	5	68	21	8
1c839a02-4452-4fe8-aff9-713950f4e11f_game_3.replay26	BUILD	4	0	builder_bot	7	2	5	50	21	8
1c839a02-4452-4fe8-aff9-713950f4e11f_game_3.replay26	BUILD	4	1	harvester	19	4	26	197	21	8
1c839a02-4452-4fe8-aff9-713950f4e11f_game_3.replay26	BUILD	5	1	conveyor	12	5	8	53	21	8
1c839a02-4452-4fe8-aff9-713950f4e11f_game_3.replay26	BUILD	5	1	conveyor	17	4	10	145	21	8
1c839a02-4452-4fe8-aff9-713950f4e11f_game_3.replay26	BUILD	6	1	harvester	10	1	20	29	21	8
1c839a02-4452-4fe8-aff9-713950f4e11f_game_3.replay26	BUILD	6	1	conveyor	13	4	2	65	21	8
1c839a02-4452-4fe8-aff9-713950f4e11f_game_3.replay26	BUILD	7	1	conveyor	16	4	5	122	21	8
1c839a02-4452-4fe8-aff9-713950f4e11f_game_3.replay26	BUILD	8	1	conveyor	18	4	17	170	21	8
