file	match	game	opp	oppver	ourver	oppbef	map	cond	turns	won	our_team
1a842021-fc66-452f-9d37-dc06f3346a9f_game_5.replay26	1a842021-fc66-452f-9d37-dc06f3346a9f	5	Kings College Munich	None	82	1587.0176080973372	lighthouse	titanium_collected	1000	1	0
1b24e13c-dea9-4070-940b-ed3d0f9a3dc4_game_1.replay26	1b24e13c-dea9-4070-940b-ed3d0f9a3dc4	1	Powerpuff Girls	None	65	1549.946793724686	atoll	titanium_collected	1000	1	0
1b24e13c-dea9-4070-940b-ed3d0f9a3dc4_game_2.replay26	1b24e13c-dea9-4070-940b-ed3d0f9a3dc4	2	Powerpuff Girls	None	65	1549.946793724686	lighthouse	titanium_collected	1000	1	0
1b24e13c-dea9-4070-940b-ed3d0f9a3dc4_game_3.replay26	1b24e13c-dea9-4070-940b-ed3d0f9a3dc4	3	Powerpuff Girls	None	65	1549.946793724686	hive	core_destroyed	259	1	0
1b24e13c-dea9-4070-940b-ed3d0f9a3dc4_game_4.replay26	1b24e13c-dea9-4070-940b-ed3d0f9a3dc4	4	Powerpuff Girls	None	65	1549.946793724686	archipelago	titanium_collected	1000	0	0
1b24e13c-dea9-4070-940b-ed3d0f9a3dc4_game_5.replay26	1b24e13c-dea9-4070-940b-ed3d0f9a3dc4	5	Powerpuff Girls	None	65	1549.946793724686	moonrise	titanium_collected	1000	0	0
1b663ab0-e701-4d33-bc2c-f7a0c68b39c9_game_1.replay26	1b663ab0-e701-4d33-bc2c-f7a0c68b39c9	1	Powerpuff Girls	None	80	1606.792030380474	atoll	titanium_collected	1000	1	1
1b663ab0-e701-4d33-bc2c-f7a0c68b39c9_game_2.replay26	1b663ab0-e701-4d33-bc2c-f7a0c68b39c9	2	Powerpuff Girls	None	80	1606.792030380474	moonrise	core_destroyed	963	0	1
1b663ab0-e701-4d33-bc2c-f7a0c68b39c9_game_3.replay26	1b663ab0-e701-4d33-bc2c-f7a0c68b39c9	3	Powerpuff Girls	None	80	1606.792030380474	antler	titanium_collected	1000	1	1
1b663ab0-e701-4d33-bc2c-f7a0c68b39c9_game_4.replay26	1b663ab0-e701-4d33-bc2c-f7a0c68b39c9	4	Powerpuff Girls	None	80	1606.792030380474	drumlin	titanium_collected	1000	0	1
1b663ab0-e701-4d33-bc2c-f7a0c68b39c9_game_5.replay26	1b663ab0-e701-4d33-bc2c-f7a0c68b39c9	5	Powerpuff Girls	None	80	1606.792030380474	archipelago	core_destroyed	619	0	1
1e8c4e1b-1aa0-4faa-943e-4f853cf2207f_game_1.replay26	1e8c4e1b-1aa0-4faa-943e-4f853cf2207f	1	Kings College Munich	None	80	1580.0930057593255	antler	titanium_collected	1000	0	1
1e8c4e1b-1aa0-4faa-943e-4f853cf2207f_game_2.replay26	1e8c4e1b-1aa0-4faa-943e-4f853cf2207f	2	Kings College Munich	None	80	1580.0930057593255	fjordgate	core_destroyed	580	1	1
1e8c4e1b-1aa0-4faa-943e-4f853cf2207f_game_3.replay26	1e8c4e1b-1aa0-4faa-943e-4f853cf2207f	3	Kings College Munich	None	80	1580.0930057593255	atoll	titanium_collected	1000	1	1
1e8c4e1b-1aa0-4faa-943e-4f853cf2207f_game_4.replay26	1e8c4e1b-1aa0-4faa-943e-4f853cf2207f	4	Kings College Munich	None	80	1580.0930057593255	saga	core_destroyed	216	0	1
1e8c4e1b-1aa0-4faa-943e-4f853cf2207f_game_5.replay26	1e8c4e1b-1aa0-4faa-943e-4f853cf2207f	5	Kings College Munich	None	80	1580.0930057593255	jackpot	core_destroyed	786	0	1
1efa218a-c2e2-4656-8005-48077447196d_game_1.replay26	1efa218a-c2e2-4656-8005-48077447196d	1	Memtrace	None	80	1543.7400743122887	nordkap	core_destroyed	119	1	1
1efa218a-c2e2-4656-8005-48077447196d_game_2.replay26	1efa218a-c2e2-4656-8005-48077447196d	2	Memtrace	None	80	1543.7400743122887	lighthouse	titanium_collected	1000	0	1
1efa218a-c2e2-4656-8005-48077447196d_game_3.replay26	1efa218a-c2e2-4656-8005-48077447196d	3	Memtrace	None	80	1543.7400743122887	hive	titanium_collected	1000	0	1
1efa218a-c2e2-4656-8005-48077447196d_game_4.replay26	1efa218a-c2e2-4656-8005-48077447196d	4	Memtrace	None	80	1543.7400743122887	fjordgate	core_destroyed	159	0	1
1efa218a-c2e2-4656-8005-48077447196d_game_5.replay26	1efa218a-c2e2-4656-8005-48077447196d	5	Memtrace	None	80	1543.7400743122887	drumlin	titanium_collected	1000	1	1
208e84f8-584c-4450-aedc-e85eb5ac5198_game_1.replay26	208e84f8-584c-4450-aedc-e85eb5ac5198	1	Memtrace	None	77	1548.0037872330286	saga	titanium_collected	1000	1	0
208e84f8-584c-4450-aedc-e85eb5ac5198_game_2.replay26	208e84f8-584c-4450-aedc-e85eb5ac5198	2	Memtrace	None	77	1548.0037872330286	drumlin	titanium_collected	1000	1	0
208e84f8-584c-4450-aedc-e85eb5ac5198_game_3.replay26	208e84f8-584c-4450-aedc-e85eb5ac5198	3	Memtrace	None	77	1548.0037872330286	heart	core_destroyed	83	1	0
