file	rnd	band	team	kind	x	y	d2_own	d2_enemy	side	winner
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_1.replay26	77	r0-150	0	gunner	12	12	288	8	FORWARD	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_1.replay26	93	r0-150	1	gunner	11	11	18	242	HOME	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_1.replay26	100	r0-150	1	gunner	13	11	10	290	HOME	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_1.replay26	100	r0-150	0	gunner	13	13	338	2	FORWARD	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_1.replay26	123	r0-150	1	gunner	13	13	2	338	HOME	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_1.replay26	125	r0-150	1	gunner	15	13	2	394	HOME	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_1.replay26	133	r0-150	1	gunner	15	12	5	369	HOME	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_1.replay26	141	r0-150	1	gunner	1	11	178	122	FORWARD	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_1.replay26	150	r150-200	1	gunner	13	12	5	313	HOME	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_1.replay26	163	r150-200	1	gunner	10	10	32	200	HOME	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_1.replay26	194	r150-200	1	sentinel	4	5	181	41	FORWARD	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_1.replay26	786	r300+	0	sentinel	4	3	25	221	HOME	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_1.replay26	805	r300+	1	sentinel	4	5	181	41	FORWARD	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_1.replay26	812	r300+	1	sentinel	4	7	149	65	FORWARD	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_1.replay26	817	r300+	0	sentinel	4	3	25	221	HOME	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_1.replay26	821	r300+	1	gunner	4	5	181	41	FORWARD	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_1.replay26	830	r300+	0	sentinel	4	3	25	221	HOME	1
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_1.replay26	835	r300+	0	sentinel	4	3	25	221	HOME	1
