game	map	seat	tile	ring_rounds	D	d_body	E	b	o	empty	ever_denied	dominant	enemy_kinds	enemy_bldg_predates_arrival
v513_log-nordkap-s2-A	nordkap	A	11,18	307	269	0	33	1	0	4	1	D	conveyor:33	0
v513_log-nordkap-s2-A	nordkap	A	11,19	307	0	34	0	2	0	271	1	.	-	0
v513_log-nordkap-s2-A	nordkap	A	10,20	307	305	1	0	0	0	1	1	D	-	0
v513_log-nordkap-s2-A	nordkap	A	9,20	307	256	0	0	1	0	50	1	D	-	0
v513_log-nordkap-s2-A	nordkap	A	8,19	307	259	0	0	0	0	48	1	D	-	0
v513_log-nordkap-s2-A	nordkap	A	8,18	307	264	0	0	0	0	43	1	D	-	0
v513_log-nordkap-s2-B	nordkap	B	9,5	136	135	0	0	0	0	1	1	D	-	0
v513_log-nordkap-s2-B	nordkap	B	10,5	136	126	2	0	0	0	8	1	D	-	0
v513_log-nordkap-s2-B	nordkap	B	11,6	136	132	0	0	0	0	4	1	D	-	0
v513_log-nordkap-s2-B	nordkap	B	11,7	136	118	0	0	1	0	17	1	D	-	0
v513_log-nordkap-s2-B	nordkap	B	10,8	136	117	0	0	1	0	18	1	D	-	0
v513_log-nordkap-s2-B	nordkap	B	9,8	136	114	0	0	2	0	20	1	D	-	0
v513_log-nordkap-s2-B	nordkap	B	8,7	136	121	0	0	2	0	13	1	D	-	0
v513_log-nordkap-s2-B	nordkap	B	8,6	136	123	0	0	1	0	12	1	D	-	0
v513_log-nordkap-s3-A	nordkap	A	9,17	343	0	3	324	3	0	13	1	E	conveyor:324	0
v513_log-nordkap-s3-A	nordkap	A	10,17	343	165	0	176	0	0	2	1	E	sentinel:176	0
v513_log-nordkap-s3-A	nordkap	A	11,18	343	0	0	335	2	0	6	0	E	conveyor:335	0
v513_log-nordkap-s3-A	nordkap	A	11,19	343	340	0	0	0	0	3	1	D	-	0
v513_log-nordkap-s3-A	nordkap	A	10,20	343	4	2	0	1	0	336	1	.	-	0
v513_log-nordkap-s3-A	nordkap	A	9,20	343	342	0	0	0	0	1	1	D	-	0
v513_log-nordkap-s3-A	nordkap	A	8,19	343	333	0	0	1	0	9	1	D	-	0
v513_log-nordkap-s3-A	nordkap	A	8,18	343	328	0	0	1	0	14	1	D	-	0
v513_log-nordkap-s3-B	nordkap	B	9,5	337	107	0	81	29	0	120	1	.	conveyor:81	0
v513_log-nordkap-s3-B	nordkap	B	10,5	337	160	0	51	100	0	26	1	D	conveyor:51	0
v513_log-nordkap-s3-B	nordkap	B	11,6	337	335	0	0	0	0	2	1	D	-	0
v513_log-nordkap-s3-B	nordkap	B	11,7	337	286	0	0	0	0	51	1	D	-	0
v513_log-nordkap-s3-B	nordkap	B	10,8	337	289	0	0	7	0	41	1	D	-	0
v513_log-nordkap-s3-B	nordkap	B	9,8	337	312	0	0	2	0	23	1	D	-	0
v513_log-nordkap-s3-B	nordkap	B	8,7	337	315	0	0	0	0	22	1	D	-	0
v513_log-nordkap-s3-B	nordkap	B	8,6	337	242	0	0	0	0	95	1	D	-	0
