tag	map	seed	seat	arm	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
v529_nordkap_s4_B	nordkap	4	B	v529	OPP	_v488beltbreak2	Core destroyed	210	0	120	1470
v527_nordkap_s4_B	nordkap	4	B	v527	US	_v527collar	Core destroyed	141	0	110	130
v528_nordkap_s4_B	nordkap	4	B	v528	US	_v528eco	Core destroyed	459	0	4020	2880
parent_nordkap_s4_B	nordkap	4	B	parent	US	base_arm	Core destroyed	373	0	110	120
flagoff_nordkap_s4_B	nordkap	4	B	flagoff	OPP	_v488beltbreak2	Core destroyed	453	0	50	1120
v529_yulerune_s3_A	yulerune	3	A	v529	US	_v529merge	Titanium collected (tiebreak)	1000	0	230	120
v527_yulerune_s3_A	yulerune	3	A	v527	US	_v527collar	Core destroyed	88	0	230	0
v528_yulerune_s3_A	yulerune	3	A	v528	US	_v528eco	Core destroyed	105	0	450	0
parent_yulerune_s3_A	yulerune	3	A	parent	US	base_arm	Core destroyed	113	0	340	0
flagoff_yulerune_s3_A	yulerune	3	A	flagoff	US	flagoff_arm	Core destroyed	85	0	210	0
v529_yulerune_s3_B	yulerune	3	B	v529	OPP	_v488beltbreak2	Core destroyed	776	0	150	1530
v527_yulerune_s3_B	yulerune	3	B	v527	US	_v527collar	Core destroyed	85	0	170	0
v528_yulerune_s3_B	yulerune	3	B	v528	US	_v528eco	Core destroyed	93	0	160	0
parent_yulerune_s3_B	yulerune	3	B	parent	US	base_arm	Core destroyed	192	0	550	0
flagoff_yulerune_s3_B	yulerune	3	B	flagoff	US	flagoff_arm	Titanium collected (tiebreak)	1000	0	250	0
v529_yulerune_s4_A	yulerune	4	A	v529	US	_v529merge	Core destroyed	83	0	190	0
v527_yulerune_s4_A	yulerune	4	A	v527	US	_v527collar	Core destroyed	88	0	220	0
v528_yulerune_s4_A	yulerune	4	A	v528	US	_v528eco	Core destroyed	112	0	190	0
parent_yulerune_s4_A	yulerune	4	A	parent	US	base_arm	Titanium collected (tiebreak)	1000	0	200	0
flagoff_yulerune_s4_A	yulerune	4	A	flagoff	US	flagoff_arm	Core destroyed	173	0	200	40
v529_yulerune_s4_B	yulerune	4	B	v529	US	_v529merge	Core destroyed	182	0	790	0
v527_yulerune_s4_B	yulerune	4	B	v527	US	_v527collar	Core destroyed	140	0	610	0
v528_yulerune_s4_B	yulerune	4	B	v528	US	_v528eco	Titanium collected (tiebreak)	1000	0	4510	2050
parent_yulerune_s4_B	yulerune	4	B	parent	US	base_arm	Core destroyed	156	0	670	0
flagoff_yulerune_s4_B	yulerune	4	B	flagoff	US	flagoff_arm	Core destroyed	282	0	3050	0
v529_antler_s3_A	antler	3	A	v529	US	_v529merge	Core destroyed	208	0	990	1760
v527_antler_s3_A	antler	3	A	v527	OPP	_v488beltbreak2	Core destroyed	277	0	1250	2820
