arm	opp	map	seed	seat	md5	turns	cond	winner	tb
V543DOSE	CTRLWAVE	glacierkeep	14	A	dc8e8203ca6feff42cb5fa2c806f2fcc	218	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	14	B	299a82c04430b9b0f64d3698bf5f1cd8	341	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	15	A	a0a441ab154120d69869a5ee0d9d134a	197	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	15	B	fe89dbe3f0cb74a799e9dbdef953d741	171	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	16	A	427f15e42cac06039569e4a58cab755c	501	core_destroyed	A	0
V543DOSE	CTRLWAVE	glacierkeep	16	B	4539612c0ac97c51dec9c4f2e5c27ab4	163	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	17	A	95b817a23f93173b7f04d18bae23c591	241	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	17	B	c78dcd15307028d4721f34a90c6af0a9	132	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	18	A	8431777135efa6e4f07e08a68b20c0ce	127	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	18	B	c30d820a3b821e8b9657d3d42352056f	196	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	19	A	f6ee98d953d7c3a9e3070d1388b211c2	180	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	19	B	ccf57c791087b9dcf9381b42a76ce520	1000	harvesters	B	0
V543DOSE	CTRLWAVE	glacierkeep	20	A	c6d45c965590a80ef3e1046b0c67bafc	196	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	20	B	d42059a9a6407c1a0827077739b8c0a9	283	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	1	A	43ec3bf19b01e7548112a6e21bccffa3	292	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	1	B	fc500402a49a805b5ff6b90678617bbe	144	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	2	A	f185bd25f3acf9bb5cd5fa5cd7e78038	136	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	2	B	35116ab72673f7d44c2af79936b8f5c9	185	core_destroyed	A	0
V543DOSE	CTRLWAVE	helheim	3	A	eb26388bd2ad7b2b6b67589611418264	191	core_destroyed	A	0
V543DOSE	CTRLWAVE	helheim	3	B	43774d02af68f5c45d415f85ee9f95bc	154	core_destroyed	A	0
V543DOSE	CTRLWAVE	helheim	4	A	73a75ddb3dc7e57c9ac10e1c1e13f4bc	203	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	4	B	54e252700db2372a8c2e5dcf916c191d	317	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	5	A	bec6aded0ba8d7f4f68bc1e02ca7db02	468	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	5	B	bc1aaed8916bb6f2b28dcdfddcabea7a	426	core_destroyed	A	0
V543DOSE	CTRLWAVE	helheim	6	A	963365cd3944b6e14108efc4c45a6e38	232	core_destroyed	A	0
V543DOSE	CTRLWAVE	helheim	6	B	c5963f703dc46378d64dfbd946c1f7a5	143	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	7	A	cb86fa2757565dc5714362e84f927243	873	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	7	B	2cb0801c1383f0731c48413194993475	293	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	8	A	661825b64a280b330af2ea96d38438ec	132	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	8	B	aa2fcf8b4229097a21c6dfb8eb2fc8d5	468	core_destroyed	A	0
V543DOSE	CTRLWAVE	helheim	9	A	c593d865e1f9cf6fdc75b5212106dc44	447	core_destroyed	A	0
V543DOSE	CTRLWAVE	helheim	9	B	7d6dc61433f896b6805e826beaced0d1	201	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	10	A	ed3a6a0b09e95fb48bdad1f39e9c0d17	732	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	10	B	571b69f74b815ed0ef8534d44fece0a8	532	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	11	A	06e1b4fa3d3b418fe796a0509f7449d2	196	core_destroyed	A	0
V543DOSE	CTRLWAVE	helheim	11	B	275d71b4ae2a075bd8b7c823679c018a	330	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	12	A	dedd9fa9b1861f0428e0af7ea76c17c7	172	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	12	B	8ab95dbf02e9d6f87646b07200a370c9	228	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	13	A	791746464e1797e4eb2fd8ff1176f4a6	1000	titanium_collected	A	0
V543DOSE	CTRLWAVE	helheim	13	B	669d3cca994efe1fec9e69dc3208c189	237	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	14	A	9da609d33f79aa99caed0879cdc2f2d1	152	core_destroyed	A	0
V543DOSE	CTRLWAVE	helheim	14	B	507f6c94458d67d4353ef58c973d3515	674	core_destroyed	A	0
V543DOSE	CTRLWAVE	helheim	15	A	caed46e2e664386f9ab3cc865c978f4b	429	core_destroyed	A	0
V543DOSE	CTRLWAVE	helheim	15	B	781e49fcc0a309b67b6208d324e781e8	146	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	16	A	2c3003071743a151fea080e171e45f08	700	core_destroyed	A	0
V543DOSE	CTRLWAVE	helheim	16	B	714650fa13042d675eb46538572e8c4b	281	core_destroyed	A	0
V543DOSE	CTRLWAVE	helheim	17	A	b550591beaba4a1c85d74ebc9ba0b41f	181	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	17	B	3579b39b63650eb27a76ead9ba1f1353	770	core_destroyed	A	0
V543DOSE	CTRLWAVE	helheim	18	A	96608354a0a73ea10b67a05da45afd69	1000	titanium_collected	A	0
V543DOSE	CTRLWAVE	helheim	18	B	c6f77e9f49a5e3955f7b34be350ab044	146	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	19	A	0d1d9bf8a9b76632ab67e7cd2e43d69e	184	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	19	B	7fb922e9642e9b9a061aa895d39d0a6b	383	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	20	A	88438c563edf46f2fdefac620c2ae1dc	508	core_destroyed	B	0
V543DOSE	CTRLWAVE	helheim	20	B	bf46eccca88d9551ddb63ee1f2222493	140	core_destroyed	A	0
